employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,job_title,min_salary,max_salary,department_name,location_id,region_id,region_name,country_id,country_name,location_id,state_province,city,postal_code,street_address,dependent_id,first_name,last_name,relationship,employee_id
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,1994-08-17,7,12000.00,101,10,"Finance Manager",8200.00,16000.00,Finance,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",12,Karl,Greenberg,Child,108
203,Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,1994-06-07,8,6500.00,101,4,"Human Resources Representative",4000.00,9000.00,"Human Resources",2400,1,Europe,UK,"United Kingdom",2400,NULL,London,NULL,"8204 Arthur St",13,Uma,Mavris,Child,203
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,2018-01-03,9,9000.00,102,6,Programmer,4000.00,10000.00,IT,1400,2,Americas,US,"United States of America",1400,Texas,Southlake,26192,"2014 Jabberwocky Rd",14,Vivien,Hunold,Child,103
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,2022-05-21,9,6000.00,103,6,Programmer,4000.00,10000.00,IT,1400,2,Americas,US,"United States of America",1400,Texas,Southlake,26192,"2014 Jabberwocky Rd",15,Cuba,Ernst,Child,104
105,David,Austin,david.austin@sqltutorial.org,590.423.4569,2020-06-25,9,4800.00,103,6,Programmer,4000.00,10000.00,IT,1400,2,Americas,US,"United States of America",1400,Texas,Southlake,26192,"2014 Jabberwocky Rd",16,Fred,Austin,Child,105
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,1998-02-05,9,4800.00,103,6,Programmer,4000.00,10000.00,IT,1400,2,Americas,US,"United States of America",1400,Texas,Southlake,26192,"2014 Jabberwocky Rd",17,Helen,Pataballa,Child,106
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,1999-02-07,9,4200.00,103,6,Programmer,4000.00,10000.00,IT,1400,2,Americas,US,"United States of America",1400,Texas,Southlake,26192,"2014 Jabberwocky Rd",18,Dan,Lorentz,Child,107
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,1996-02-17,10,13000.00,100,2,"Marketing Manager",9000.00,15000.00,Marketing,1800,2,Americas,CA,Canada,1800,Ontario,Toronto,"M5V 2L7","147 Spadina Ave",19,Bob,Hartstein,Child,201
202,Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,2015-08-17,11,3000.00,201,2,"Marketing Representative",4000.00,9000.00,Marketing,1800,2,Americas,CA,Canada,1800,Ontario,Toronto,"M5V 2L7","147 Spadina Ave",20,Lucille,Fay,Child,202
204,Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,1977-06-07,12,10000.00,101,7,"Public Relations Representative",4500.00,10500.00,"Public Relations",2700,1,Europe,DE,Germany,2700,Bavaria,Munich,80925,"Schwanthalerstr. 7031",21,Kirsten,Baer,Child,204
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,1995-05-18,13,3100.00,114,3,"Purchasing Clerk",2500.00,5500.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",22,Elvis,Khoo,Child,115
116,Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,2020-12-24,13,2900.00,114,3,"Purchasing Clerk",2500.00,5500.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",23,Sandra,Baida,Child,116
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,2022-07-24,13,2800.00,114,3,"Purchasing Clerk",2500.00,5500.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",24,Cameron,Tobias,Child,117
118,Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,2022-11-15,13,2600.00,114,3,"Purchasing Clerk",2500.00,5500.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",25,Kevin,Himuro,Child,118
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,1999-08-10,13,2500.00,114,3,"Purchasing Clerk",2500.00,5500.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",26,Rip,Colmenares,Child,119
114,Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,1994-12-07,14,11000.00,100,3,"Purchasing Manager",8000.00,15000.00,Purchasing,1700,2,Americas,US,"United States of America",1700,Washington,Seattle,98199,"2004 Charade Rd",27,Julia,Raphaely,Child,114
145,John,Russell,john.russell@sqltutorial.org,NULL,1996-10-01,15,14000.00,100,8,"Sales Manager",10000.00,20000.00,Sales,2500,1,Europe,UK,"United Kingdom",2500,Oxford,Oxford,"OX9 9ZB","Magdalen Centre, The Oxford Science Park",28,Woody,Russell,Child,145
146,Karen,Partners,karen.partners@sqltutorial.org,NULL,1997-01-05,15,13500.00,100,8,"Sales Manager",10000.00,20000.00,Sales,2500,1,Europe,UK,"United Kingdom",2500,Oxford,Oxford,"OX9 9ZB","Magdalen Centre, The Oxford Science Park",29,Alec,Partners,Child,146
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,NULL,2018-03-24,16,8600.00,100,8,"Sales Representative",6000.00,12000.00,Sales,2500,1,Europe,UK,"United Kingdom",2500,Oxford,Oxford,"OX9 9ZB","Magdalen Centre, The Oxford Science Park",30,Sandra,Taylor,Child,176
